Name,Damage,Speed,timeToAppear,maxTimeNotLookedAt,Probability,Amount,EnergyTime,MaxEnergyTime,DieInfo
Eyes,5,,,,18,,,,Algunos ojos estan hechos para no ser vistos.;No debiste mirarlo directamente...\n\n A veces lo mejor es desviar la mirada;¿Nunca escuchaste\n\n “ojos que no ven\n\n corazon que no siente”?;No es tan dificil mirar para otro lado...\n\n ¿o sí?;
Screech,40,,2,7,36,,,,"El sonido te advirtio\n\n pero fue tarde...;Un bicho te dijo ""pst"" y tu ni caso... clasico;Cuando escuches un ""pst""\n\n busca rapidamente alrededor;Escuchar con atencion es la clave para sobrevivir;

"
Rush,125,20,,,8,,,,"No intentes correr\n\n no hay escapatoria fuera de un escondite;No lograste esconderte a tiempo...;No intentes hacerte el valiente... no funciona;Armario = vida. Fuera del armario = funeral;Rush no pide permiso\n\n pasa y te aplasta;

"
Ambush,125,25,,,4,,,,Ambush no se detiene con una sola pasada...;No todos los monstruos se van despues de atacar...;La paciencia es clave para sobrevivirlo;Si vuelve a pasar... no salgas\n\n campeon.;Espera el silencio real\n\n no el silencio trampa.;
A60,125,35,,,15,,,,Fue mas veloz que tus reflejos...;A60 no perdona los errores lentos...;Los ruidos fuertes son su señal de aparicion.;A60 llega tan rapido como RENFE;Cuando escuches ruidos raros\n\n ¡AL ESCONDITE YA!;
A90,90,,,,11,,,,Cualquier movimiento fue tu final...;A90 castiga la impaciencia...;No muevas el raton ni camines hasta que desaparezca.;No era Simon dice\n\n era A90 dice;
A120,125,30,,,7,,,,Espera el tiempo necesario antes de salir;No confíes solo en tus ojos\n\n escucha con atencion;Su llegada es similar a Rush\n\n pero mas letal.; Mantente oculto hasta estar completamente seguro;Te escondiste tarde... tipico;Si suena raro\n\n corre directo al armario;
Jack,30,,,,1,,,,Algunos monstruos se esconden en los armarios;El armario ocultaba algo peor que la oscuridad...;No todos los escondites son seguros;Si lo encuentras\n\n busca otro escondite rapidamente;
Bandage,,,,,10,10,,,
GoldBandage,,,,,2,,,,
Pills,,,,,5,8,,,
Coins,,,,,50,20,,,
Crucifix,,,,,3,,,,
Flashlight,,,,,10,,40,40,
ChargeFlashlight,,,,,5,,40,40,
Lighter,,,,,15,,25,25,
