Name,Damage,Speed,Probability,Amount,EnergyTime,MaxEnergyTime,DieInfo
Eyes,5,0,18,,,,Algunos ojos están hechos para no ser vistos;No debiste mirarlo directamente...\n\nA veces lo mejor es desviar la mirada;¿Nunca escuchaste\n\nojos que no ven\n\ncorazón que no siente?;No es tan difícil mirar para otro lado...\n\n¿o sí?
Screech,40,0,36,,,,El sonido te advirtió\n\npero fue tarde...;Un bicho te dijo (pst) y tú ni caso...\n\nclásico;Cuando escuches un (pst)\n\nbusca rápidamente alrededor;Escuchar con atención es la clave para sobrevivir
Rush,125,20,8,,,,Rush no pide permiso\n\npasa y te aplasta;No lograste esconderte a tiempo...;No intentes hacerte el valiente...\n\nNo funciona;Armario = vida - Fuera del armario = funeral;No intentes correr\n\nNo hay escapatoria fuera de un escondite
Ambush,125,25,4,,,,Ambush no se detiene con una sola pasada...;No todos los monstruos se van después de atacar...;La paciencia es clave para sobrevivirlo;Si vuelve a pasar... no salgas\n\ncampeón;Espera el silencio real\n\nNo el silencio trampa
A60,125,35,15,,,,Fue más veloz que tus reflejos...;A60 no perdona los errores lentos...;Los ruidos fuertes son su marca de aparición;A60 llega tan rapido como RENFE;Cuando escuches ruidos raros\n\n¡AL ESCONDITE YA!
A90,90,0,11,,,,Cualquier movimiento fue tu final...;A90 castiga la impaciencia...;No muevas el ratón ni camines hasta que desaparezca;No era Simón dice\n\nera A90 dice
A120,125,30,7,,,,Espera el tiempo necesario antes de salir;No confíes solo en tus ojos\n\nescucha con atención;Su llegada es similar a Rush\n\npero más letal;Mantente oculto hasta estar completamente seguro;Te escondiste tarde... típico;Si suena raro\n\ncorre directo al armario
Jack,1,0,10,,,,Algunos monstruos se esconden en los armarios;El armario ocultaba algo peor que la oscuridad...;No todos los escondites son seguros;Si lo encuentras\n\nbusca otro escondite rapidamente
Bandage,,,10,10,,,
GoldBandage,,,2,30,,,
Pills,,,5,8,,,
Coins,,,50,20,,,
Crucifix,,,3,,,,
Flashlight,,,10,,40,40,
ChargeFlashlight,,,5,,40,40,
Lighter,,,15,,25,25,
